,open,high,low,close,volume,atr,ob_formed,ob_direction,entry_quality,qmp_fast,qmp_slow,qmp_macd,qmp_line,qmp_hist,qqe_rsi,qqe_rsi_ma,qqe_dar,qqe_momentum,signal_alignment
2026-05-05 05:15:00,80868.69,81188.0,80868.69,81061.53,290.50281,229.9735714285728,False,none,0.0,80987.89944197118,80878.81491252106,109.08452945011959,134.2368131054428,-25.152283655323203,73.86656189633761,73.86656189633761,16.967386800600828,8.268264169492525,-1.0
2026-05-05 05:30:00,81061.53,81323.52,81020.01,81040.42,322.25574,236.13785714285876,False,none,0.0,81029.748952811,80923.53222268868,106.2167301223235,126.47774493069575,-20.261014808372252,71.71031205384716,71.71031205384716,16.873903495817515,-2.1562498424904533,1.0
2026-05-05 05:45:00,81040.42,81065.62,80912.51,80970.0,182.39288,235.96642857142956,False,none,0.0,81039.96383447002,80952.46526790681,87.49856656321208,113.96296182524262,-26.464395262030536,64.52896926017635,64.52896926017635,16.813225260918248,-7.181342793670808,1.0
2026-05-05 06:00:00,80969.99,81016.42,80900.0,80958.93,120.41881,218.2928571428586,False,none,0.0,81042.47735720882,80975.78764402436,66.68971318445983,97.40373761092059,-30.714024426460753,63.38851423028489,63.38851423028489,16.700848397756026,-1.1404550298914629,1.0
2026-05-05 06:15:00,80958.94,80972.06,80810.0,80824.93,110.25982,201.36071428571557,False,none,0.0,81004.24035615887,80976.57372701114,27.66662914773042,71.52896288347347,-43.86233373574305,50.9350702647662,50.9350702647662,16.694775590284937,-12.453443965518687,1.0
2026-05-05 06:30:00,80824.94,80889.41,80800.0,80811.51,86.33182,189.0028571428577,False,none,0.0,80968.80793869334,80974.50108909441,-5.693150401071762,41.205093070908816,-46.89824347198058,49.81491567552622,49.81491567552622,16.63022189212094,-1.1201545892399807,1.0
2026-05-05 06:45:00,80811.51,80976.0,80811.51,80976.0,72.82322,184.91214285714415,False,none,0.0,80986.43519154479,80995.29614663305,-8.860955088253831,18.78147696460266,-27.642432052856492,61.634055673334146,61.634055673334146,16.657664884392766,11.819139997807923,-1.0
2026-05-05 07:00:00,80976.0,81026.7,80900.34,80995.36,94.16242,170.29000000000192,False,none,0.0,81004.30759881606,81015.78059982251,-11.47300100645225,2.384328843901031,-13.857329850353281,62.81212376970384,62.81212376970384,16.62324428834829,1.1780680963696923,-1.0
2026-05-05 07:15:00,80995.35,81095.0,80973.5,81050.01,99.02306,169.86571428571602,False,none,0.0,81032.41393541108,81041.02710303805,-8.613167626972427,-7.634599130749407,-0.9785684962230192,66.16394596708439,66.16394596708439,16.56407000158863,3.3518221973805495,-1.0
2026-05-05 07:30:00,81050.0,81136.59,80994.83,81011.05,477.76993,165.62214285714435,False,none,0.0,81041.88831994573,81057.16311963277,-15.27479968703119,-16.484043315995763,1.2092436289645718,61.63761651419563,61.63761651419563,16.499255593376112,-4.52632945288876,-1.0
2026-05-05 07:45:00,81011.05,81029.57,80826.0,80855.59,373.47689,171.16000000000142,False,none,0.0,81003.78753443633,81048.56602483602,-44.77849039969442,-32.72064650595361,-12.05784389374081,46.980872492702915,46.980872492702915,16.564888270982554,-14.656744021492713,1.0
